id,lat,lng,provider
1,59.9017314,30.3395524,yandex
2,59.9098089,30.3468797,yandex
3,59.9149316,30.3502097,yandex
4,59.984803,30.231189,yandex
5,59.9672104,30.3053293,yandex
6,59.9606102,30.3308928,yandex
7,59.9549846,30.3077635,yandex
8,59.9524308,30.2903581,yandex
9,59.9463792,30.2897419,yandex
10,59.9381263,30.2945979,yandex
11,59.9144177,30.3747367,yandex
12,59.9291284,30.3475315,yandex
13,59.9360435,30.3482075,yandex
14,59.9435541,30.412234,yandex
15,59.9548634,30.3745029,yandex
16,59.9595836,30.383793,yandex
17,59.946571,30.3488478,yandex
18,59.93956,30.2180616,yandex
19,59.9684233,30.4107219,yandex
20,59.9990219,30.3631526,yandex
21,60.0788761,30.2667469,yandex
22,60.1059775,30.2470156,yandex
23,59.9638271,30.3297311,yandex
24,60.0980543,30.2995215,yandex
25,60.0958054,30.3169925,yandex
26,60.0911374,30.369714,yandex
27,60.0836231,30.3788376,yandex
28,59.9663563,30.288687,yandex
29,59.9959197,30.3453017,yandex
30,59.9841536,30.2564935,yandex
31,59.984383,30.2479301,yandex
32,59.9379996,30.3425297,yandex
33,59.9324534,30.2740882,yandex
34,59.9358485,30.2837511,yandex
35,60.0516901,30.3796406,yandex
36,59.9261743,30.4006676,yandex
37,59.9218671,30.407107,yandex
38,59.9314378,30.4097482,yandex
39,59.9576531,30.415339,yandex
40,59.9629084,30.4090708,yandex
41,59.9584739,30.4064458,yandex
42,59.9241235,30.389119,yandex
43,59.9956535,30.1229741,yandex
44,60.0068013,30.4494312,yandex
45,60.0127448,30.4714285,yandex
46,59.9374672,30.3955815,yandex
47,59.9422004,30.3389252,yandex
48,59.8986578,30.4303989,yandex
49,59.9010047,30.4584342,yandex
50,59.9068153,30.4827338,yandex
51,59.9197281,30.4706907,yandex
52,59.9216392,30.4787994,yandex
53,60.0327637,30.2221717,yandex
54,60.0278448,30.2357494,yandex
55,60.0078819,30.2614657,yandex
56,60.0063789,30.2728116,yandex
57,60.0234891,30.2913191,yandex
58,60.0252679,30.2391117,yandex
59,60.0012351,30.2555384,yandex
60,59.9663002,30.2944544,yandex
61,59.9534796,30.4149479,yandex
62,59.9531791,30.436925,yandex
63,59.9529,30.4484074,yandex
64,59.9479323,30.4362886,yandex
65,59.940334,30.4349395,yandex
66,59.9586476,30.4778832,yandex
67,59.969431,30.3951881,yandex
68,59.9766261,30.4021387,yandex
69,59.9777006,30.3930707,yandex
70,59.9793819,30.382447,yandex
71,59.98292,30.4090633,yandex
72,59.9853449,30.411712,yandex
73,59.9861115,30.3520444,yandex
74,59.9866293,30.3573954,yandex
